stars,text
5,I was referred to Jones Family Dentistry for an emergency procedure. I cannot express how incredible the staff and doctors were. I appreciate all the time and help they gave me. The follow up phone call really showed how caring they are. AMAZING Dentists!!! My family has a new dentist. Thank you!!!
5,Amanda was very helpful when we looking at the ferrits.....   A great pet store.
5,"From the moment I walked into the lobby the staff displayed a level of professionalism that you don't get to see everyday. Each staff member that I came into contact with gave me a handshake and said, ""Welcome to our business"". I don't normally enjoy going to the dentist, but this has been the complete opposite. They made me feel very comfortable and confident that I was going to be happy with my experience, and I was!  So I set up an appointment for my 9 year old son on the way out. Since then we have both been in to have work done. My son need one filling and he took it very well, then trotted off to school like nothing ever happened. I started with a deep cleaning from Bobbie Lynn Tucker , RDH.  She was very nice and personable, did a wonderful job cleaning my teeth, not to mention gentle. I was never in any pain either during or after the procedure.  My following visit was with Dr. Brittian, DDS.  I needed a few fillings and I am very pleased with his work. Again gentle and quick.  My teeth look beautiful and feel wonderful. They were great with explaining all the costs and have cool perks like a Rewards Program.  I also liked the glass back wall that gives the patient a private calm view of the outdoors. The flat screens are cool too, but my only complaint is that when I asked quite seriously if they could change the channel, ( I dislike sport shows a lot) they were not going to budge. That might be something they want to work out. Other than that I really would recommend  them to everyone."
5,"This was such a good experience
I was up all night with a extremely severe painful tooth ache
I don't have health insurance so I didn't think I could afford a dentist
Friends and Family told me to look up a dental school and thats how I found A.T. Still
I called and they said they accept five Emergency patients a day at 1:pm
It was 11am but I didn't care I drove straight there and I was the first patient seen at 1p.m.
it cost $15 to be seen, $15 for the X-Rays, and turns out my wisdom tooth was infected and had a cavity

so they sent me up to oral surgery, it cost me $85 to get the tooth extracted
i was nervous and they talked me through it and calmed my fears
It didn't hurt at all, I was numbed up and the student did a good job

they gave me a three prescriptions to take with me and I have to return next week for follow - up
the follow up appointment is FREE!

totally recommend this place to any and everyone!"
5,"They have the nicest staff and the Dr. is always open when examining our dog! We have boarded her there as well and the staff is so kind, and when our dog gets there she cant wait to run up and play with the staff!"
5,"One of my favorites. The crispy chicken tacos are overstuffed with meat,lettuce,cheese and always filling. The prices are reasonable for what you get. Also like Julios g  too next door for quick take out  or ""no Tip"" casual meal. Self serve chips and mild chunky salsa  are terrific."
5,"Awesome, Big Ben sandwich is delish and chocolate/strawberry scones is one of the best I have ever had, and can't forget to mention the coffee and tea, great place"
5,"I'm very new to PHX. I ended up talking to a cop at the airport who told me about Thursday Rockabilly nights at the Blooze. I had to check it out. My friend and I walked in and were instantly comfortable, excited, and impressed. The AC was pumping, beer was cold, the music; rockin, and the crowd; refreshing. The bathroom was great! 
They don't have food there but they will let you bring in whatever you want. We went there pretty early, around 7:30ish. Unfortunately, because of ridiculously early work on Fri AM, I had to leave once it was starting to get really packed and lively around 10:30/11. I am so glad that I finally checked the place out though. I will definitely frequent The Blooze as often as I can."
5,"I live within walking distance of the Japanese Friendship Garden, so I enjoy it frequently.  Once inside, it's hard to believe you're still in Phoenix.  That's why I was so happy when Groupon recently offered a half-price membership.  I would join in a minute, except they're closed from May to October or so.  Half-price membership seems about right.

The atmosphere is gentle and meditative.  I feel safe sitting on a bench and actually meditating here.  The koi kind of freak me out.  They've been fed so often  by visitors that I feel fairly certain they'd eat me if I fell into the pond.  Last time I visited, there were baby ducks in the house.  So cute and fluffy, and they had no fear of people."
5,"It is a 110 mile round trip for me, passing who knows how many salons along the way, and it is well worth the drive even during rush hour. Ask for Ray if you want an amazing hair experience. You will go home feeling beautiful/handsome."
5,John did a fantastic job on figuring out my overheating issue on my Infiniti after Grelichs failed to fix my car properly. John is more than fair with there pricing and are extremely knowledgeable. He has a customer for life from me.
5,"Ahhh Shady's...I am a little embarrassed to admit how often I frequent this gem of a place, but definitely not ashamed of how much I love it.  Cool atmosphere, just the right lighting (very important to me), great bartenders, good prices on a really nice selection (Who else has Old Raj gin or Agwa De Bolivia?).   This is definitely not a dive bar (not that there's anything wrong with that), but it's not an icey, blase Snobbsdale-ish joint either, and I've never felt ridiculed or snubbed here either by patron or bartender.  I've seen all walks of life come through this place, but never felt that it was too 'hip' or pretentious in any way. Great jukebox, obscure, forgotten movies playing on the telly, bartenders that are nice to look at (male and female), have personality and actually remember your name (and drink).  Does it get any better than this?"
5,"My husband and I LOVE LOVE LOVE this place. Every time we drive by he wants to go in and eat. Even if we are driving home from a dinner we just had!! 

1. The people that work there are AMAZING. They are so nice and hospitable, always glad to see you and let you decide the type of dining experience you want. (romantic date, take out, quick bar eats, etc.) 

2. This is the freshest place for seafood I have found in Phoenix. I don't know how they find half of the stuff the serve, but they do, and it is just off the boat. (I lived in Boston for 3 years and they get stuff I crave, like Kumomato Oysters, all types of fish and meat from East Coast farms) 

3. Pricing is right on...since they are serving stuff that is difficult to procure, I am always amazed at the value they present. 


Keep Rocking Yasu!!!"
5,Great food and service! Country food at its best!
5,"Amazing.

Fogo de chao is nothing short of out of this world. It is expensive, but as soon as you start, you'll know exactly where that money went.
Seriously. Try it."
5,"This is by far the best farmer's market I've been to in the Valley.  Still small by comparison to LA and the Bay Area but is off to a great start with lots of potential and space to grow into.

McClendon has a great spread of high quality mainly organic produce and is constantly restocking so it's ok if you don't get there first thing.  It was exciting to see beautiful Tuscan kale and broccoli rabe at prices lower than Sprouts.  Meyer lemons and blood oranges were also available.

Phoenician's outstanding loaves were only $3. You're welcome to sample - we particularly liked the Olive Walnut and Dark Chocolate Cherry.

We enjoyed Digestif's Frittata ($4) made with thin layers of potato, eggs, pork belly and spinach.  Other combinations available were Dandelion with Goat Cheese and Mushrooms with Garlic Confit. Executive Chef Payton Curry is also there to demonstrate pulling fresh mozzarella which is served with a variety of sauces and toppings,

It was fun walking around this bustling market sampling food, like tamales, which we intend to come back for next week.  If I can get myself out of bed at a decent hour on Sat, I'll be here for sure every week until the season ends in May."
5,"This is one of the top three Dog Parks in the Valley. Plenty of room, well lit in the evenings, plenty of water. I've seen the attendance shift slightly in the last year with less hipsters and more kooks coming in. Not a problem though because there are always multiple groups to mingle with.
For photos and a complete review of this park go to www.dogparkriot.com."
5,"So, for my date tonight to the Compass Room, I needed to get my nails done.  I removed my acrylics myself last week.  
I read the reviews here and decided to try DV.
You know, sometimes when you walk into a nail shop for the first time, it's almost like the Soup Nazi.  Not this place!
There were two girls ahead of me, so I waited a bit, but only about ten minutes.  
It's bigger than the place I had been going to!  Really clean and I heard ENGLISH being spoken by the nail techs!  That was nice.  Yeah, there were still speaking Vietnamese (or so I think) to each other, yes, probably about us gringas, but it was refreshing to hear actualy conversations.
I had Le.  She was so sweet!  I told her all about my date, too.
She was quick, and made some suggestions about what to get.  Usually I like clear tips that they have to paint.  I was kinda short on time, so I went with her suggestion of white tips.  Plus, it was about $5 cheaper.
She was quick but *really* methodical.  
I think this may be the nicest set of acrylics I've gotten out here in the PHX!
She even called me by name throughout the conversation.
$25 for a new full set.  Not bad at all"
5,Very consistent food. Definitely a second best to P.F. Chang's.
5,"I absolutely love this place!  I've had my birthday here twice in the last 5 years, and they have been able to accommodate large groups (up to 20s).  Their patio is super cute and great in the fall and spring time.  My favorite pizza is the Di Notte.  Cute atmosphere combined with good food = one of my favorite restaurants in Phoenix.  Worth the drive to downtown!"
5,"This is by far the best Chicken Fried Steak around!  Not to mention their mashed potatoe's, salad and biscuit!  I've never been able to clean my plate here, which is great since I always have an extra meal!   Of course you can always get the lunch portion which is smaller, but then you don't have the extra goodies for later!  

It's a small down home place, dress comfy and go there to eat up!  The wait staff is always the best and they know their stuff!  

I've had their T-Bone here, and it's good, but really hard to go there and not get what made them famous!  Wonderful food!

Prices for lunch are around $7.00 and dinner around $12.00 - really hard to beat for real down home cooking!"
5,"part of a social event, we only had app's here. quite delicious crab cakes and a shrimp fritters with mango sauce. the portions were gigantic and actually big enough for a meal. i was slightly full afterwards. part of the roaring fork, wildfish franchise, they also offer a great happy hour. seems a bit high priced but our bill was taken care of, so i'd save this (for the middle class foodie) for a special event."
5,"Great food, great Sangria, great live music, great vibe, great service EXCLAMATION MARK. Overall it was a great way to spend a Sunday afternoon."
5,"I'm giving this Office Max five stars for convenience, friendly service, competitively priced products a stocked shelves. 

This Office Max is a great in and out shop. On one side there is the detailed supply store and on the office side, there is a complete copy center. It's open until 9 on the weekdays and they don't make you feel rushed if you get there at oh let's say...8:50. In fact, they are helpful! They walked me around and helped me find the random items I needed. The copy center staff was also very friendly. 

This Office Max has your complete supply of office items but their prices are very reasonable! I purchased the same item at another shop that I did here and it was significantly less expensive here. 

So on that note, I end my review on Office Max but I will report back with any new findings."
5,"Went here earlier this spring and WOW - What a way to watch spring training 
I LOVE the Giants stadium, and this is much better. It has twice as much lawn seating, the seats are wide and comfortable AND - aimed towards home plate, which didn't used to seem like a big deal but sitting in Scottsdale down the line, IT IS. 
The food there is top notch, with an amazing pizza slice 
Plus, the ability to walk around to diff fields and watch other players work out is amazing - it sucks that the Giants keep fields separate, I think every team should do such a joint complex."
5,"Do you hate shaving as much as I do? Do you find waxing too painful and expensive every 6-8 weeks?  Well I have the answer for you!!!  Go see Cindy Semerdjian at Cosmetic Laser Solutions.  I was introduced to Cindy through a friend AND NOW I AM HOOKED!!!   Not only do I no longer have hair, it is very inexpensive!  How much did it cost for you to get waxed...what would you say if I told you for a few dollars more the hair would be gone...PERMANENTLY!   

Cindy offers a free initial consultation.  A few prices that I have experienced on a per session basis is: underarm - $100 ; bikini (brazilian) - $100; full leg (both) - $250.

I highly, highly recommend going to see Cindy!  Tell her Jillian sent you!    

So get started today to get ready for summer!"
5,"Hertz Gold Club service worked perfectly for me. My Toyota Corolla, booked over the internet, was in its bay and ready to go.

The buses to and from the rental centre were frequent and painless to use."
5,"Celebrated my anniversary here. Everything was amazing. Enjoyed the filet mignon and the lobster with prawns. Luis was our server and made our experience truly amazing. He made everything perfect. He gave us our space, but at the same time entertained us when appropriate. He recommended a great wine to pair with the lobster, and made sure we were well taken care. We capped our meal off with creme brulee and a dessert wine. We will definitely come back here and ask for Luis again."
5,"This is the most comfortable place to have a glass of wine, relax, and enjoy some great food. Their service is amazing. There are really comfy seats and couches inside and great outdoor seating. You could literally spend hours here. They have wi-fi, so you can chill out on your CPU or IPad. The bar super cool. Very nice bartenders that are knowledgable and accommodating. Their wine is killer, of course, or they wouldn't be named 5th and Wine right?"
5,"I love this place. Food is ALWAYS fresh, cook correct and service is great. Not to mention their lunch specials!!! My husband and I always spend less than 20 bucks and get full and satisfied EVERYTIME!!!!"
5,"As a sissy vegetarian, I feel compelled to mention the soup that no one has yet mentioned at Da Vang - THE TAMARIND BASED SOUP HOT POT IS AMAZING!

I don't know if they use any other animal broth in it, because I am willfully ignorant of such matters.  Regardless, if you are a meat eater or a vegetarian, try the tamarind soup, and bring friends.  It is super yummy.

They also have a rice-based soup.  And, if you talk to your server, they can likely recommend some vegetarian/tofu based dishes that will be wonderful.

Everything else is as good as everyone says it is.  Wouldn't be surprised if people got an occasional bowl of sub-par pho; every family restaurant makes mistakes.  I'd recommend everyone try it again."
5,"We live in Chandler, so we get take out here probably once a month. My husband is from the east coast and in both his and my opinion, these are the best cheesesteaks around! We love their spicy peppers (they are hot!) and while I am not really a cheesesteak fan, their chicken cheesesteak sandwiches are fabulous! The owners are hard working and really appreciate all of their customers and let you know it! 

We have been eating here for three years now and have never had a bad experience."
5,"This is my kind of restaurant. I love everything about Buca di Beppo!

I am fascinated by how this place was decorated. All the walls and various trinkets make this a fun dining experience. 

One thing to note is that it can be kind of expensive to eat here, although I am always finding coupons for this restaurant so that helps!

Beyond that the food is awesome! I go with my fiance and we love the calamari and the garlic bread, which we always get as appetizers. We switch up the main course when we go, but each time has had great results. We had dessert here once too and that was also good! We usually end up with leftovers, because they give huge portions, which we love. I can't wait to come again!"
5,"Even though I've rarely had anything else on their menu except for hummus, I highly recommend this little greek hot spot. They have tons of regulars because the food keeps them coming back. The hummus is to die for (it only comes with one pita however, so I always order 2-3 extra). I have also tried their veggie gyro which is great. I have brought many meat-loving friends here and I've never heard anything but great things about their experience with their food. 

The staff is completely Greek. They are friendly in their own unique kind of way. Because I usually saunter in with a drink from Starbucks (same parking lot), the female owner assumes I work there and she always asks me how business is going at SB. I corrected her the first few times, but she continued to ask, so now I just keep it going and tell her it's going great but that I hate my job (because I'm assuming I would, if I worked there). I love her personality...very intense. Never smiles, even when a smile would be just right. But she is still very kind. Always look forward to seeing her and eating her food."
5,"I dined in Sol this past week and was amazed. I am in the industry and have absolutely fell in love with this place. The food is not only original but good an healthy. I will say this though if you are looking for refried beans and mush on your plate this is not the mexican food for you. It reminded me of time i have spent down the coast of mexico, very wonderful. I can see them still working out a few errors but they are very quick to fix any mistake. the service i had was absolutely amazing, it was nice to see someone like the tall good looking gentlemen i had wait on me. he was funny and kept my table laughing and very informative overall, i really had a sense during my meal he wanted nothing but the best for my table. definitely somewhere i will be back too for sure, especially since im craving that taco vampiro again."
5,"Recently I had the pleasure of eating at this great new Iron Chef Jose Garces restaurant. Pulling up to the front entrance to the restaurant my girlfriend and I were greeted by extremely nice doorman who valet our vehicle for us. We were a bit concerned that we were going to get wet from the rain on this day, but thanks to the valet service the hotel & restaurant provide we stayed warm and dry! Now I must say we were taken back from the decor inside the restaurant... It was spectacular!! The way the restaurant is decorated just puts a smile on your face! Also, it gives you a feel for Iron Chef Jose Garces personality which seems to be light and fun. The food is absolutely amazing!! We split the ""IGNACIO"" Nachos which have black beans, tomato, queso mixto, jalapeño, chile de arbol, and radish, and the Barbbacoa ""Costillas"" berkshire pork spare ribs, chipotle-cider mustard bbq they were tender, juicy, and delicious! We tried the House Margarita the ""Distrito"" and the white ""Mexican Sangria"" both were spectacular!! I have never heard of a white sangria before.. But WOW it was amazing! All of the employees we encountered were extremely nice, knowledgeable, and sincere. This restaurant will definitely stay on my regular to do list! Thanks to everyone who gave us a wonderful experience!!!"
5,"Always consistent. Great service, great carne asada and a pleasant patio on a beautiful day."
5,"I dream about their chopped salad...I, too, would use it as my screen saver if I didn't share a computer."
5,"I can't describe to you how amazing these gourmet adult hot pockets taste! They literally MELT in your mouth- a few of my favorites are the Cajun Chicken, Dill Salmon, and the Stilton & Steak---Bon Appetit everyone! And don't forget about the all day everyday-$3 car bombs(you can't beat that price) their happy hour is amazing, too!"
5,"NOCA...  wow.

Have you seen the outer limits show where the chef owns a device that when placed in a small room with a single person drives the person completely insane with fear but creates a liquid extract that adds complete and utter bliss to food.  That liquid is then added to  the restaurant's soup which is revered as the best soup in the word.  Limit 1 bowl per person...?

NOCA must have gotten their hands on this relic.  Honestly.  This has probably been the best dining experience of my life.   Everything was delicious on its own, all together, or when combining just a few of the items on the plate.  

Walked in and our server seated us.  They brought us an amuse-bouche that had a small amount of blue cheese, chorizo, and chives.  Was delicious.  Then bread was served. After that, our Bacon and Egg was served.  This was phenomenal.  A crispy perfectly poached egg with oh so tender pork belly....mmmm

My fiance ordered the butternut squash cannelloni and I ordered the duck.  Both were amazing.  The duck was so moist and tender but not greasy at all.  We then were served cotton candy as we waiting on our 2 desserts to arrive.  We had the donuts and the de-constructed cheesecake.  I had an espresso and my fiance had the vanilla malted milk shake.

All of this was amazing.  My fiance wasn't in the mood for wine, so I delved into the beer list and low and behold, 90 minute IPA from dogfish head.... NOCA, I love you."
5,"I can only vouch for the chicken salad, as it's the only thing I've ever tried in the 20 years I've been coming here. It's THAT good. I always think about trying something else, but why mess with perfection?

Walking inside gives you the sense that you've stepped into a time machine and arrived in the late 70's. I, personally, find it to be awesome. Most of Scottsdale is lacking in historic flare. And yes, the late 70s is historic by Scottsdale standards. Besides, whatever money they're not spending on updating the decor is clearly going right into their magically delicious chicken salad."
5,"i absolutely LOVE maxim and i have eaten there approximately 2 times a week since i learned about the restaurant a year ago.  the atmosphere is pretty awful, but the food is amazing.  i get a #86, which is a noodle, tofu, and vegetable soup (the broth is meat based).  it is comforting and cheap and always improves a bad day.  everyone i have taken there has enjoyed the food as well (though they tend to enjoy the vietnamese dishes more than the chinese ones). highly, highly recommended."
5,"I just love Chipotle. Fresh, yummy, spicy (if you want it to be). And the restaurant was clean a HUGE plus! My personal fav is the chicken burrito, no rice, no beans w/ fajita veggies, pico, cheese, sour cream, and lettuce. Guacamole and hot sauce on the side. So delicious!!! The person who did our order was so nice! It was my friend's first Chipotle experience! She was impressed by how big the burrito was. I'm glad I only live a few blocks away... because I will be back."
5,"So, I now frequent The Vig.  If you go, talk to Jason, the bartender.  He's quick with the beverages and funny.  Enjoy yourself.  You deserve it!  This place can get packed during dinner hour, though."
5,Carlsbad Tavern is my favorite Mexican restaurant. I love the dark and cozy atmosphere inside and I love that they have Hoegaarden on tap.. I've had the machaca burrito and fish tacos here and both dishes were amazing. They serve New Mexico cuisine here. The only difference I noticed is they are big on green chile and use black beans instead of refried beans. I have a lot of friends from New Mexico and they all love this restaurant. The food here is delicious and flavorful if you don't live in the neighborhood it's definitely worth the drive.
5,"I found this little hot spot on Yelp and used my phone to navigate me there; I wouldn't have found it otherwise.  This small establishment is hidden in a neighborhood right off of Historic Downtown Chandler.  It's a quaint little diner with modest décor.  I felt very comfortable there and the service was fast and friendly.  As I looked over the menu the first thing I saw was the Morning Monte and havarti cheese as one of the ingredients.  Cheddar isn't better; it's all about havarti folks!  I needn't look further; I knew that's what I was having.  Hawaiian bread French toast, bacon, turkey, egg and the havarti - absolutely delicious!  Can't wait to come back and bring everyone I know."
5,Fast service. Great burgers and fries. So far the Arizona burger coupled with sweet potato fries is my favorite.
5,"I brought in six pairs of shoes to Ariel to see if he could put new heels on them (I wear the spiky-heeled high heels).  For $12, not only did Ariel put new heels that perfectly matched each color, size and type of heel (and even filed them just a hair so that they would wear smoothly), but he also put a lot of work into fixing the front of them.  Many of my shoes had toes that were worn, shredded or faded; Ariel made them like absolutely new.  Amazing!

My shoes are not Prada or Gucci.  They are mostly Nine West with leather uppers and man-made everything else.  :)  However, Ariel took amazing care of them as if they were ""the king's"" shoes.  It is so great to have my favorite pairs of shoes back.  I will return.  Thank you, Ariel!"
5,"Monkey Pants has some of the best burgers in AZ.  Great place for a long lazy lunch over some pitchers.  I think one month my friends and I went there like 20 times for lunch.  Never got sick of it.  It's a dive bar, but it's a cool dive bar."
5,"Finally, a great place to get breakfast that isn't Denny's or iHop in Gilbert. Came here with my family and we just made it before the change in menus. 

The griddle bread pudding was AMAZING! Probably the highlight of the meal. We also ordered the veggie sandwich, All-American breakfast (?), a slice of red velvet cake.  

We have definitely found our go-to Breakfast joint when my sister and I, both come back to Gilbert to visit the 'Rents."
5,"Dr. Jason Kanarish is absolutely amazing.  I am a Physician Assistant in surgery, and  appreciated his ""bedside"" manner as well as medical knowledge, which was phenomenal.  He spent AMPLE TIME with me and answered EVERY QUESTION I had.  Not to mention, he was fantastic with my scared min pin. I cannot recommend him enough.  The staff is also extremely friendly and helpful!"
5,"Amazing. Just stopped for snacks, had the fake crab rangoons and samosas. Very good. Will mos def come back to dine, hopefully several times, when in town. 

Love that they sell Diaya in the cooler and other lovely products, books and junk foods!"
5,"What can I say about Execucar. I love their service. It cost just as much if not cheaper than taking a cab for me. I make a reservation on-line, get confirmation via email as well as a phone call the day before confirming my reservation. The cars are always nice, clean, and fresh smelling (yes that may seem weird but I have been in some cabs that were like WHOA!) The drivers are always in shirts, ties, and slacks and they are professional and courteous. I have never had a driver be late (knock on wood) and they have always gotten me to the airport on-time. Plus I get some frequent flyer miles added to my USAirways account for using them. Can we say bonus!"
5,"This place seems to get better every time I visit. The first time was a Friday night out with the guys. We met up for dinner and I had (and loved) the pulled pork and sweet potato fries. After dinne we got our drink on with a live band. The waitress was helpful in getting us drunk off a variety of liquors. And the shots kept on coming! It was a blast. The second time was more laid back, just grabbing a beer with a girlfriend. It was a Tuesday and the place was pretty busy. The next time me and the girlfriend showed up completely wasted and they had an Irish band playing. It was a perfect way to end our night after clubbing at the gay bar! We had a baileys nightcap and everything went dark from there. Awesome night!"
5,"Jodi is fantastic!  Extraordinary!  After too many expensive yet less-than-average salon expereinces, my hair has been less beautiful than its potential.  Jodi gave me a very thorough consultation after I did some research to find the best colorist for me.  During my appointment, Jodi was professional, efficient and friendly.  I left the salon with soft, gorgeous hair... lovely color, care of the INOA line, and I felt beautiful again.  She did what at least half a dozen other highly recommended colorists did not accomplish.  I'm ecstatic and relieved and I have finally found my colorist.  What more can a girl ask?  Thanks so much, Jodi."
5,"The new Kale salad is to die for! 
I love this place! Every time we have lunch here it is busy but somehow the staff always finds us a seat! The food is always really good and the speed in which you get it is amazing. This is the best lunch place in the valley!"
5,I love supporting local coffee houses and this one is my favorite.  They are always super friendly even if I sit in there for hours studying and only order one drink.  I LOVE their sugar free avalanches!
5,Mastro's serves up the best steak in Scottsdale.  They also offer delicious seafood and excellent side dishes.  Prices are steep. After 10pm this place becomes a pick up joint for gold digging women seeking sugar daddy's.
5,"What a great way to spend Easter morning!

After taking part in the egg hunt on the main grounds (and BTW, they know how to do it here: Massive dumps of eggs full of goodies. More than the kids could carry. Plenty of photo ops. Parents who weren't acting out scenes from Soylent Green.) we made our way to this nicely upscale coffee shop/casual dining spot. 

We were seated 30 minutes ahead of our reservation, keeping my little guy from popping a gasket. I chose the $19 breakfast buffet, and considering it included a custom-made omelette with organic ingredients--as well as juice and coffee--it was a steal. 

Service was wonderful and the staff was sure to make us feel at home. Well, actually better than home because I don't have people looking after my every whim and need while at home."
5,"we rode our bikes here today in search of a new place to try. the online menu looked like it had a few options for non-meat eaters (although it is very much a meat heavy menu). 

for an easter sunday lunch, it was very empty, not a good sign. but we had no wait and they easily passed the water glass test. our server was very attentive and checked on us throughout the meal without being overbearing. 

the decor is ""country"" but not like cracker barrel....more like neo farm dining. 

i had the blackened fish sandwich, which was cooked really well, nice and seared but juicy, topped with onion, pickles, tomatoes and butter lettuce. i had the jalpeno and cheese grits on the side and they were rich and creamy with just a slight hint of heat...nothing to burn your mouth. 
my wife had the tuna sandwich, which was also tasty and seared just right. she did have to navigate a big piece of fascia which is not that delectable, but it was her dish, not mine. her side of gigantic asparagus tasted wonderful. 

i would love to come back here and hope they are able to make it here. well worth the bike ride."
5,Cant say enough good things about Sens. Excellent food and excellent service.
5,"Stay in the courtyard recently and have no complaints at all!! RIght when I entered the place , the staff greeted us and they were all very nice and helpful with everything. Although i only stayed there for 1 night , i thought the rooms were very well kept and the bed was amazing! The first thing i do when i check into the room is look at the bed and sample how if feels and this bed was amazing! The rooms are about normal size and has a tv , desk , chair , etc..... Wifi is also a must whenever i travel and no complaints here. Wifi was fast and easily available. Did not have a chance to see the gym or the pool but they do have one. Overall , i would stay here again if i come by Phoenix!!"
5,This is one of my favorite places to go in Phoenix!! I love the $5 wine glasses during happy hour!! The bruschetta is out of this world!! The sundae with salted caramel and pretzels is probably one of the BEST things I have ever eaten!! :o)
5,"Hands down the best Vietnamese food we've found in metro Phoenix.  Enormous bowls of delicious pho, served quickly with friendly and efficient service.  Our ""go to"" place for pho now.  Cheap too!"
5,"I was there just last night, and today received a ROTD for my original review. Too weird.

Updates - They mix a great margarita! No fluorescent green pre mixed Margarita mix - they make it themselves with fresh lime juice. Yum.

The wine list is small but good. My current fave is the Argentinian Malbec.  It's only $6 a glass, and they pour generously. Very tasty wine.

The seating is not comfy if you like to slouch. If you sit up straight, it's fine. But seriously.... good posture is over rated.

It gets a little cold in there once in a while during the winter. Wear long sleeves. :) After 3 glasses of the Malbec last night, I didn't care.

This place has really been growing on me... nice to have such a great neighborhood watering hole!"
5,"Fantastic.  Absolutely fantastic.  I recommend OHSO for anyone looking to dine at a neighborhood bar and grill. 

I was really shocked when I dined at OHSO for a Sunday brunch.  I figured the variety of beers would be the focal point of the brewery; boy, was I wrong.  This place has some of the best dishes in Scottsdale supported by a huge selection of beer.  

Let me say this with more clarity: great food differentiates this place, not the huge variety of beers.  This is a great achievement considering many breweries focus on providing rare beers with mediocre food.  

The ""Burger + Cheese"" is simply awesome.  
A GREAT brunch dish is the ""Breakfast Burrito"" as well as the ""Breakfast Flatbread."""
5,"I've been to a ton of Pho places here in the valley, and this is the best one I've been to, by far.  The prices are reasonable and the Pho was fantastic.  The rolls were pretty good, but not the best I've had around here (that honor belongs to Saigon Pho, not too far from this place.  BBQ beef rolls there are fantastic, but I digress).  I haven't tried anything else at Pho Van, but it all looked pretty good too.  

The place is super clean and the service was ridiculously fast (I don't know if it was just my luck or if that's a regular thing).

I want to come back, but it's not close to my house.  However, it's worth the drive if you ever get that Pho craving."
5,"I'm a huge fan of Padre's! What food I've tried (I mainly just order tacos or their pork sliders usually) is delicious, the bartenders are awesome, and the owners are always friendly!

One of my favorite things to do: Order two tacos and half a bowl of guacamole with chips and salsa."
5,"I will continue to give this place five stars for so many reasons.  First, the menu is very creative, and offers a great variety of healthy food, with an Asian twist.  This time I had the shrimp curry, which had lots of fresh vegetables, and instead of a heavy cream curry, it was a much healthier broth curry.  We had the edamame dumplings again, which were as good as I remembered.  It was kind of cool to see Dr. Weil eating there last night.  It's good to know that he likes the place enough to dine there."
