Age,Workclass,FNLWGT,Education,EducationLevel,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Salary
44, Private,67065, Assoc-voc,11, Never-married, Priv-house-serv, Not-in-family, White, Male,594,0,25, United-States, <=50K
17, Private,197732, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
46, Private,150499, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,167350, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
37, Private,271013, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private,154120, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,65, United-States, <=50K
38, Private,22245, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,220098, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
47, Private,248059, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,47, United-States, >50K
26, Private,211265, Some-college,10, Married-spouse-absent, Craft-repair, Other-relative, Black, Female,0,0,35, Dominican-Republic, <=50K
37, Private,35309, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private,95835, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,36, United-States, <=50K
36, Private,132879, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
37, Private,278576, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
18, Private,446771, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
33, Private,231043, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
24, Private,235894, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
19, ?,225775, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private,195891, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
34, Federal-gov,194740, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private,292570, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
23, Private,165474, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, ?,347692, 11th,7, Divorced, ?, Not-in-family, Black, Male,0,0,15, United-States, <=50K
69, Private,182862, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,15831,0,40, United-States, >50K
75, ?,111177, Bachelors,13, Widowed, ?, Not-in-family, White, Female,25124,0,16, United-States, >50K
66, ?,188842, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,24, United-States, <=50K
49, Private,129640, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private,148398, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private,245090, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K
22, Private,235733, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private,220323, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc,404998, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private,236977, HS-grad,9, Separated, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
63, Private,266083, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
23, Private,320451, Bachelors,13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
38, ?,75024, 7th-8th,4, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private,108960, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,232577, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Female,0,0,30, United-States, <=50K
45, ?,51164, Some-college,10, Married-civ-spouse, ?, Wife, Black, Female,0,0,40, United-States, <=50K
40, Private,117860, HS-grad,9, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
29, State-gov,183285, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,36, United-States, <=50K
32, Private,385959, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private,161532, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
19, ?,249147, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
44, Private,54310, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
39, Local-gov,344855, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,20, United-States, >50K
22, Private,110677, Some-college,10, Separated, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
90, Private,52386, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
64, State-gov,104361, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Female,0,0,65, United-States, <=50K
60, State-gov,69251, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,38, China, >50K
37, Private,31368, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,356882, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
27, State-gov,31935, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,80, United-States, <=50K
26, Private,103700, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private,324629, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
38, Private,248919, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
36, Federal-gov,343052, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
30, Private,115963, 7th-8th,4, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,42, United-States, <=50K
48, Private,280422, Some-college,10, Separated, Other-service, Not-in-family, White, Female,0,0,25, Peru, <=50K
21, State-gov,110946, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,43, United-States, <=50K
29, Private,178649, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,20, France, <=50K
49, Private,323798, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,3325,0,50, United-States, <=50K
42, Private,248356, HS-grad,9, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc,73309, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,55, United-States, >50K
42, Private,173704, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, ?,431861, 10th,6, Separated, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private,193820, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,1876,40, United-States, <=50K
52, Private,102828, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40, United-States, >50K
28, Self-emp-not-inc,155621, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Columbia, <=50K
32, Private,115631, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,4101,0,50, United-States, <=50K
43, Private,177905, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3908,0,40, United-States, <=50K
49, Private,204629, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
81, Private,129338, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, <=50K
19, ?,117201, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,22, United-States, <=50K
26, Private,106705, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,28, United-States, <=50K
51, Private,101722, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,3908,0,47, United-States, <=50K
45, Private,175262, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
33, Private,109996, Assoc-acdm,12, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private,59474, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private,245628, 11th,7, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,20, United-States, <=50K
19, Private,146679, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Male,0,0,30, United-States, <=50K
19, Private,382738, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
57, Private,127728, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
40, Private,323790, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,129059, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States, <=50K
39, Self-emp-not-inc,191342, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, South, <=50K
42, Private,339346, Masters,14, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
22, Private,173736, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private,112497, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,182342, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States, <=50K
39, Private,195253, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
72, ?,173427, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, Cuba, <=50K
27, Private,198197, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private,176185, Some-college,10, Divorced, Exec-managerial, Other-relative, White, Male,0,0,60, United-States, <=50K
69, Private,228921, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Male,0,2282,40, United-States, >50K
42, Self-emp-not-inc,53956, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,55, United-States, <=50K
45, Private,264526, Assoc-acdm,12, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private,161874, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc,122442, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, United-States, <=50K
23, Private,46645, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, <=50K
33, Private,348592, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private,197838, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, ?,358783, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,35, United-States, <=50K
52, Private,443742, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
17, Private,231439, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
54, Private,156877, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Greece, <=50K
66, Self-emp-inc,179951, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
64, Private,631947, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,173316, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,184307, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Jamaica, >50K
26, Private,282142, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
37, Private,232614, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
19, ?,351195, 9th,5, Never-married, ?, Other-relative, White, Male,0,1719,35, El-Salvador, <=50K
57, Private,205708, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
46, Federal-gov,227310, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
63, ?,221592, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
46, State-gov,72506, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
20, ?,121023, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private,53833, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
34, Private,509364, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
45, Self-emp-inc,170871, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,55, United-States, >50K
19, ?,263338, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,45, United-States, <=50K
43, Self-emp-inc,62026, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
45, Private,140644, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,231491, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
39, Local-gov,301614, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
36, Private,311255, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Haiti, <=50K
27, Self-emp-not-inc,208406, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
38, Private,161066, HS-grad,9, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
20, Private,200153, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
39, Private,184801, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private,247025, HS-grad,9, Never-married, Protective-serv, Unmarried, White, Male,0,0,44, United-States, <=50K
20, Private,320047, 10th,6, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,328060, 9th,5, Separated, Other-service, Unmarried, Other, Female,0,0,40, Mexico, <=50K
50, Local-gov,254148, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private,60331, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private,549349, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
43, State-gov,241506, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,1506,0,36, United-States, <=50K
28, Private,314649, Some-college,10, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
23, Private,62278, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private,154863, Bachelors,13, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, United-States, <=50K
52, Private,139671, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States, >50K
40, Private,400061, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
44, Private,159911, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,55, United-States, <=50K
27, Self-emp-not-inc,70657, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
25, Private,243560, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, Columbia, <=50K
37, Private,108366, Bachelors,13, Never-married, Transport-moving, Not-in-family, White, Male,0,0,46, United-States, <=50K
59, Federal-gov,115389, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States, <=50K
30, Private,36383, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
27, Private,130807, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc,24473, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
48, Private,40666, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
23, Private,55215, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,55, United-States, <=50K
19, Private,67759, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,43, United-States, <=50K
38, Self-emp-not-inc,58972, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Private,213412, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc,320744, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3908,0,45, United-States, <=50K
32, Private,169589, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
22, ?,177902, Some-college,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
27, Private,189777, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Federal-gov,105586, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
56, Private,37394, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private,138293, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
47, State-gov,108890, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,1831,0,38, United-States, <=50K
60, Private,156616, HS-grad,9, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private,182108, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,27828,0,35, United-States, >50K
41, Self-emp-not-inc,29762, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,5013,0,70, United-States, <=50K
23, Self-emp-inc,215395, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private,454508, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,2001,40, United-States, <=50K
44, Private,227065, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc,200153, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
51, Private,103407, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc,59612, 10th,6, Divorced, Farming-fishing, Unmarried, White, Male,0,0,70, United-States, <=50K
34, Private,230246, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
32, Private,328199, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, >50K
33, Self-emp-not-inc,103860, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
46, Private,224559, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-inc,226355, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2415,70, ?, >50K
33, Private,373662, 1st-4th,2, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
29, Private,262478, HS-grad,9, Never-married, Farming-fishing, Own-child, Black, Male,0,0,30, United-States, <=50K
36, Private,218542, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private,225823, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
46, Private,75256, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,40, United-States, <=50K
35, Private,229328, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
44, Private,222978, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,1504,40, United-States, <=50K
24, Private,187717, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private,187702, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private,23037, 12th,8, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private,60890, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,49, United-States, <=50K
38, Private,186145, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
