year,month,day,hour,pm2.5,TEMP
2010,1,6,13,36.0,-10.0
2010,1,6,14,48.0,-9.0
2010,1,6,15,49.0,-8.0
2010,1,6,16,52.0,-8.0
2010,1,6,17,56.0,-9.0
2010,1,6,18,96.0,-9.0
2010,1,6,19,75.0,-14.0
2010,1,6,20,105.0,-12.0
2010,1,6,21,132.0,-14.0
2010,1,6,22,93.0,-16.0
2010,1,6,23,131.0,-16.0
2010,1,7,0,127.0,-16.0
2010,1,7,1,130.0,-16.0
2010,1,7,2,43.0,-18.0
2010,1,7,3,37.0,-15.0
2010,1,7,4,30.0,-16.0
2010,1,7,5,28.0,-15.0
2010,1,7,6,24.0,-15.0
2010,1,7,7,23.0,-13.0
2010,1,7,8,24.0,-14.0
2010,1,7,9,27.0,-12.0
2010,1,7,10,40.0,-11.0
2010,1,7,11,42.0,-10.0
2010,1,7,12,42.0,-9.0
2010,1,7,13,55.0,-8.0
2010,1,7,14,52.0,-7.0
2010,1,7,15,51.0,-7.0
2010,1,7,16,57.0,-8.0
2010,1,7,17,50.0,-9.0
2010,1,7,18,54.0,-11.0
2010,1,7,19,67.0,-11.0
2010,1,7,20,106.0,-15.0
2010,1,7,21,159.0,-14.0
2010,1,7,22,198.0,-14.0
2010,1,7,23,190.0,-16.0
2010,1,8,0,210.0,-17.0
2010,1,8,1,195.0,-16.0
2010,1,8,2,275.0,-16.0
2010,1,8,3,164.0,-15.0
2010,1,8,4,110.0,-15.0
2010,1,8,5,100.0,-15.0
2010,1,8,6,81.0,-15.0
2010,1,8,7,71.0,-13.0
2010,1,8,8,66.0,-12.0
2010,1,8,9,92.0,-12.0
2010,1,8,10,135.0,-10.0
2010,1,8,11,155.0,-10.0
2010,1,8,12,198.0,-9.0
2010,1,8,13,250.0,-8.0
2010,1,8,14,200.0,-8.0
2010,1,8,15,231.0,-8.0
2010,1,8,16,250.0,-8.0
2010,1,8,17,212.0,-8.0
2010,1,8,18,219.0,-9.0
2010,1,8,19,227.0,-11.0
2010,1,8,20,226.0,-12.0
2010,1,8,21,225.0,-14.0
2010,1,8,22,168.0,-9.0
2010,1,8,23,169.0,-11.0
2010,1,9,0,165.0,-13.0
2010,1,9,1,159.0,-13.0
2010,1,9,2,167.0,-14.0
2010,1,9,3,196.0,-15.0
2010,1,9,4,169.0,-13.0
2010,1,9,5,155.0,-16.0
2010,1,9,6,119.0,-15.0
2010,1,9,7,106.0,-15.0
2010,1,9,8,93.0,-14.0
2010,1,9,9,84.0,-9.0
2010,1,9,10,73.0,-7.0
2010,1,9,11,66.0,-6.0
2010,1,9,12,40.0,-6.0
2010,1,9,13,49.0,-5.0
2010,1,9,14,50.0,-4.0
2010,1,9,15,49.0,-4.0
2010,1,9,16,41.0,-4.0
2010,1,9,17,37.0,-4.0
2010,1,9,18,45.0,-7.0
2010,1,9,19,44.0,-6.0
2010,1,9,20,54.0,-7.0
2010,1,9,21,50.0,-6.0
2010,1,9,22,47.0,-8.0
2010,1,9,23,66.0,-8.0
2010,1,10,0,75.0,-11.0
2010,1,10,1,82.0,-13.0
2010,1,10,2,66.0,-12.0
2010,1,10,3,83.0,-13.0
2010,1,10,4,62.0,-14.0
2010,1,10,5,40.0,-13.0
2010,1,10,6,23.0,-13.0
2010,1,10,7,25.0,-14.0
2010,1,10,8,27.0,-14.0
2010,1,10,9,35.0,-12.0
2010,1,10,10,50.0,-7.0
2010,1,10,11,70.0,-7.0
2010,1,10,12,75.0,-7.0
2010,1,10,13,58.0,-6.0
2010,1,10,14,70.0,-6.0
2010,1,10,15,68.0,-5.0
2010,1,10,16,71.0,-5.0
2010,1,10,17,88.0,-6.0
2010,1,10,18,84.0,-7.0
2010,1,10,19,83.0,-6.0
2010,1,10,20,66.0,-6.0
2010,1,10,21,27.0,-4.0
2010,1,10,22,24.0,-4.0
2010,1,10,23,22.0,-5.0
2010,1,11,0,23.0,-6.0
2010,1,11,1,27.0,-8.0
2010,1,11,2,23.0,-11.0
2010,1,11,3,17.0,-11.0
2010,1,11,4,17.0,-11.0
2010,1,11,5,16.0,-12.0
2010,1,11,6,16.0,-12.0
2010,1,11,7,20.0,-13.0
2010,1,11,8,20.0,-9.0
2010,1,11,9,18.0,-10.0
2010,1,11,10,25.0,-9.0
2010,1,11,11,26.0,-9.0
2010,1,11,12,27.0,-6.0
2010,1,11,13,28.0,-5.0
2010,1,11,14,15.0,-5.0
2010,1,11,15,24.0,-5.0
2010,1,11,16,13.0,-5.0
2010,1,11,17,13.0,-5.0
2010,1,11,18,13.0,-7.0
2010,1,11,19,17.0,-7.0
2010,1,11,20,20.0,-8.0
2010,1,11,21,27.0,-10.0
2010,1,11,22,20.0,-13.0
2010,1,11,23,15.0,-12.0
2010,1,12,0,21.0,-15.0
2010,1,12,1,21.0,-14.0
2010,1,12,2,37.0,-14.0
2010,1,12,3,26.0,-18.0
2010,1,12,4,15.0,-13.0
2010,1,12,5,9.0,-14.0
2010,1,12,6,11.0,-14.0
2010,1,12,7,11.0,-12.0
2010,1,12,8,16.0,-14.0
2010,1,12,9,13.0,-12.0
2010,1,12,10,15.0,-11.0
2010,1,12,11,21.0,-11.0
2010,1,12,12,24.0,-11.0
2010,1,12,13,22.0,-11.0
2010,1,12,14,22.0,-11.0
2010,1,12,15,22.0,-11.0
2010,1,12,16,19.0,-11.0
2010,1,12,17,23.0,-11.0
2010,1,12,18,25.0,-11.0
2010,1,12,19,25.0,-11.0
2010,1,12,20,31.0,-12.0
2010,1,12,21,25.0,-12.0
2010,1,12,22,22.0,-12.0
2010,1,12,23,22.0,-12.0
2010,1,13,0,15.0,-12.0
2010,1,13,1,16.0,-12.0
2010,1,13,2,11.0,-12.0
2010,1,13,3,11.0,-13.0
2010,1,13,4,12.0,-12.0
2010,1,13,5,11.0,-12.0
2010,1,13,6,12.0,-12.0
2010,1,13,7,27.0,-12.0
2010,1,13,8,28.0,-12.0
2010,1,13,9,34.0,-11.0
2010,1,13,10,33.0,-10.0
2010,1,13,11,36.0,-9.0
2010,1,13,12,26.0,-8.0
2010,1,13,13,49.0,-6.0
2010,1,13,14,52.0,-5.0
2010,1,13,15,47.0,-5.0
2010,1,13,16,47.0,-5.0
2010,1,13,17,39.0,-7.0
2010,1,13,18,59.0,-8.0
2010,1,13,19,76.0,-9.0
2010,1,13,20,96.0,-10.0
2010,1,13,21,95.0,-13.0
2010,1,13,22,68.0,-12.0
2010,1,13,23,65.0,-13.0
2010,1,14,0,75.0,-14.0
2010,1,14,1,257.0,-15.0
2010,1,14,2,174.0,-15.0
2010,1,14,3,164.0,-16.0
2010,1,14,4,161.0,-16.0
2010,1,14,5,137.0,-17.0
2010,1,14,6,92.0,-14.0
2010,1,14,7,64.0,-17.0
2010,1,14,8,87.0,-15.0
2010,1,14,9,87.0,-14.0
2010,1,14,10,84.0,-10.0
2010,1,14,11,95.0,-9.0
2010,1,14,12,79.0,-6.0
2010,1,14,13,75.0,-5.0
2010,1,14,14,79.0,-5.0
2010,1,14,15,86.0,-4.0
2010,1,14,16,72.0,-4.0
2010,1,14,17,89.0,-5.0
2010,1,14,18,94.0,-3.0
2010,1,14,19,69.0,-3.0
2010,1,14,20,49.0,-4.0
2010,1,14,21,33.0,-5.0
2010,1,14,22,27.0,-6.0
2010,1,14,23,20.0,-6.0
2010,1,15,0,36.0,-7.0
2010,1,15,1,37.0,-8.0
2010,1,15,2,30.0,-10.0
2010,1,15,3,18.0,-10.0
2010,1,15,4,21.0,-9.0
2010,1,15,5,13.0,-9.0
2010,1,15,6,23.0,-9.0
2010,1,15,7,26.0,-9.0
2010,1,15,8,27.0,-8.0
2010,1,15,9,30.0,-8.0
2010,1,15,10,28.0,-7.0
2010,1,15,11,26.0,-6.0
2010,1,15,12,26.0,-5.0
2010,1,15,13,31.0,-4.0
2010,1,15,14,35.0,-3.0
2010,1,15,15,36.0,-3.0
2010,1,15,16,37.0,-2.0
2010,1,15,17,64.0,-5.0
2010,1,15,18,83.0,-6.0
2010,1,15,19,91.0,-6.0
2010,1,15,20,90.0,-6.0
2010,1,15,21,102.0,-8.0
2010,1,15,22,94.0,-10.0
2010,1,15,23,87.0,-11.0
2010,1,16,0,141.0,-11.0
2010,1,16,1,211.0,-13.0
2010,1,16,2,242.0,-12.0
2010,1,16,3,271.0,-13.0
2010,1,16,4,249.0,-12.0
2010,1,16,5,200.0,-10.0
2010,1,16,6,147.0,-10.0
2010,1,16,7,114.0,-11.0
2010,1,16,8,102.0,-11.0
2010,1,16,9,108.0,-9.0
2010,1,16,10,135.0,-9.0
2010,1,16,11,120.0,-6.0
2010,1,16,12,148.0,-5.0
2010,1,16,13,127.0,-4.0
2010,1,16,14,128.0,-3.0
2010,1,16,15,140.0,-3.0
2010,1,16,16,148.0,-3.0
2010,1,16,17,150.0,-4.0
2010,1,16,18,154.0,-7.0
2010,1,16,19,197.0,-7.0
2010,1,16,20,235.0,-8.0
2010,1,16,21,261.0,-9.0
2010,1,16,22,269.0,-11.0
2010,1,16,23,266.0,-11.0
2010,1,17,0,263.0,-12.0
2010,1,17,1,241.0,-11.0
2010,1,17,2,205.0,-11.0
2010,1,17,3,160.0,-12.0
2010,1,17,4,150.0,-12.0
2010,1,17,5,148.0,-10.0
2010,1,17,6,208.0,-11.0
2010,1,17,7,209.0,-10.0
2010,1,17,8,183.0,-10.0
2010,1,17,9,161.0,-8.0
2010,1,17,10,182.0,-6.0
2010,1,17,11,230.0,-5.0
2010,1,17,12,170.0,-4.0
2010,1,17,13,172.0,-3.0
2010,1,17,14,154.0,-1.0
2010,1,17,15,166.0,-1.0
2010,1,17,16,177.0,-1.0
2010,1,17,17,191.0,-3.0
2010,1,17,18,212.0,-5.0
2010,1,17,19,250.0,-6.0
2010,1,17,20,268.0,-7.0
2010,1,17,21,317.0,-7.0
2010,1,17,22,291.0,-9.0
2010,1,17,23,313.0,-9.0
2010,1,18,0,282.0,-10.0
2010,1,18,1,282.0,-11.0
2010,1,18,2,303.0,-9.0
2010,1,18,3,349.0,-10.0
2010,1,18,4,407.0,-11.0
2010,1,18,5,361.0,-11.0
2010,1,18,6,234.0,-11.0
2010,1,18,7,149.0,-11.0
2010,1,18,8,147.0,-11.0
2010,1,18,9,184.0,-6.0
2010,1,18,10,161.0,-5.0
2010,1,18,11,137.0,-3.0
2010,1,18,12,146.0,-1.0
2010,1,18,13,144.0,0.0
2010,1,18,14,154.0,1.0
2010,1,18,15,173.0,1.0
2010,1,18,16,188.0,1.0
2010,1,18,17,203.0,-1.0
2010,1,18,18,233.0,-2.0
2010,1,18,19,408.0,-3.0
2010,1,18,20,435.0,-2.0
2010,1,18,21,403.0,-1.0
2010,1,18,22,360.0,-1.0
2010,1,18,23,402.0,-1.0
2010,1,19,0,358.0,-1.0
2010,1,19,1,383.0,-1.0
2010,1,19,2,332.0,-1.0
2010,1,19,3,274.0,-1.0
2010,1,19,4,256.0,-1.0
2010,1,19,5,302.0,-1.0
2010,1,19,6,330.0,-1.0
2010,1,19,7,367.0,-1.0
2010,1,19,8,297.0,0.0
2010,1,19,9,331.0,0.0
2010,1,19,10,323.0,0.0
2010,1,19,11,339.0,1.0
2010,1,19,12,301.0,1.0
2010,1,19,13,310.0,1.0
2010,1,19,14,305.0,1.0
2010,1,19,15,313.0,2.0
2010,1,19,16,336.0,2.0
2010,1,19,17,357.0,2.0
2010,1,19,18,485.0,1.0
2010,1,19,19,426.0,2.0
2010,1,19,20,403.0,1.0
2010,1,19,21,374.0,0.0
2010,1,19,22,333.0,0.0
2010,1,19,23,343.0,1.0
2010,1,20,0,364.0,0.0
2010,1,20,1,389.0,-1.0
2010,1,20,2,368.0,-2.0
2010,1,20,3,267.0,-1.0
2010,1,20,4,71.0,1.0
2010,1,20,5,81.0,0.0
2010,1,20,6,51.0,2.0
2010,1,20,7,49.0,1.0
2010,1,20,8,44.0,0.0
2010,1,20,9,45.0,0.0
2010,1,20,10,35.0,1.0
2010,1,20,11,29.0,0.0
2010,1,20,12,27.0,0.0
2010,1,20,13,29.0,-1.0
2010,1,20,14,16.0,-1.0
2010,1,20,15,23.0,-1.0
2010,1,20,16,28.0,-1.0
2010,1,20,17,22.0,-2.0
2010,1,20,18,11.0,-3.0
2010,1,20,19,25.0,-4.0
2010,1,20,20,16.0,-3.0
2010,1,20,21,20.0,-4.0
2010,1,20,22,20.0,-4.0
2010,1,20,23,18.0,-5.0
2010,1,21,0,18.0,-6.0
2010,1,21,1,17.0,-6.0
2010,1,21,2,17.0,-7.0
2010,1,21,3,17.0,-8.0
2010,1,21,4,15.0,-8.0
2010,1,21,5,19.0,-9.0
2010,1,21,6,16.0,-9.0
2010,1,21,7,18.0,-9.0
2010,1,21,8,18.0,-8.0
2010,1,21,9,18.0,-8.0
2010,1,21,10,26.0,-7.0
2010,1,21,11,26.0,-7.0
2010,1,21,12,25.0,-5.0
2010,1,21,13,24.0,-5.0
2010,1,21,14,15.0,-4.0
2010,1,21,15,17.0,-3.0
2010,1,21,16,15.0,-2.0
2010,1,21,17,21.0,-2.0
2010,1,21,18,40.0,-2.0
2010,1,21,19,51.0,-3.0
2010,1,21,20,45.0,-3.0
2010,1,21,21,61.0,-8.0
2010,1,21,22,72.0,-9.0
2010,1,21,23,38.0,-9.0
2010,1,22,0,35.0,-6.0
2010,1,22,1,29.0,-4.0
2010,1,22,2,26.0,-5.0
2010,1,22,3,18.0,-6.0
2010,1,22,4,15.0,-7.0
2010,1,22,5,15.0,-7.0
2010,1,22,6,22.0,-7.0
2010,1,22,7,21.0,-7.0
2010,1,22,8,19.0,-7.0
2010,1,22,9,22.0,-5.0
2010,1,22,10,25.0,-4.0
2010,1,22,11,22.0,-4.0
2010,1,22,12,26.0,-3.0
2010,1,22,13,32.0,-3.0
2010,1,22,14,30.0,-2.0
2010,1,22,15,32.0,-2.0
2010,1,22,16,30.0,-2.0
2010,1,22,17,32.0,-2.0
2010,1,22,18,37.0,-3.0
2010,1,22,19,49.0,-5.0
2010,1,22,20,47.0,-4.0
2010,1,22,21,39.0,-4.0
2010,1,22,22,35.0,-4.0
2010,1,22,23,48.0,-7.0
2010,1,23,0,49.0,-4.0
2010,1,23,1,24.0,-8.0
2010,1,23,2,23.0,-5.0
2010,1,23,3,20.0,-6.0
2010,1,23,4,19.0,-5.0
2010,1,23,5,16.0,-6.0
2010,1,23,6,22.0,-7.0
2010,1,23,7,24.0,-7.0
2010,1,23,8,24.0,-6.0
2010,1,23,9,41.0,-2.0
2010,1,23,10,23.0,-1.0
2010,1,23,11,19.0,0.0
2010,1,23,12,15.0,1.0
2010,1,23,13,19.0,2.0
2010,1,23,14,17.0,2.0
2010,1,23,15,17.0,3.0
2010,1,23,16,22.0,3.0
2010,1,23,17,,2.0
2010,1,23,18,,1.0
2010,1,23,19,,0.0
2010,1,23,20,,0.0
2010,1,23,21,,-3.0
2010,1,23,22,,0.0
2010,1,23,23,,0.0
2010,1,24,0,,-2.0
2010,1,24,1,,-7.0
2010,1,24,2,,-8.0
2010,1,24,3,,-11.0
2010,1,24,4,,-9.0
2010,1,24,5,,-10.0
2010,1,24,6,,-12.0
2010,1,24,7,,-12.0
2010,1,24,8,,-13.0
2010,1,24,9,,-7.0
2010,1,24,10,,-4.0
2010,1,24,11,,0.0
2010,1,24,12,,4.0
2010,1,24,13,,5.0
2010,1,24,14,,5.0
2010,1,24,15,,5.0
2010,1,24,16,,5.0
2010,1,24,17,,3.0
2010,1,24,18,,1.0
2010,1,24,19,,-1.0
2010,1,24,20,,-2.0
2010,1,24,21,,-3.0
2010,1,24,22,,-4.0
2010,1,24,23,,-5.0
2010,1,25,0,,-5.0
2010,1,25,1,,-6.0
2010,1,25,2,,-6.0
2010,1,25,3,,-6.0
2010,1,25,4,,-6.0
2010,1,25,5,,-7.0
2010,1,25,6,,-7.0
2010,1,25,7,,-7.0
2010,1,25,8,,-6.0
2010,1,25,9,,-4.0
2010,1,25,10,,-3.0
2010,1,25,11,,-2.0
2010,1,25,12,,-1.0
2010,1,25,13,,1.0
2010,1,25,14,,2.0
2010,1,25,15,,2.0
2010,1,25,16,,2.0
2010,1,25,17,,1.0
2010,1,25,18,,-1.0
2010,1,25,19,,-1.0
2010,1,25,20,,-4.0
2010,1,25,21,,-1.0
2010,1,25,22,,-5.0
2010,1,25,23,,-3.0
2010,1,26,0,,-9.0
2010,1,26,1,,-8.0
2010,1,26,2,,-11.0
2010,1,26,3,,-12.0
2010,1,26,4,,-10.0
2010,1,26,5,,-10.0
2010,1,26,6,,-12.0
2010,1,26,7,,-10.0
2010,1,26,8,,-13.0
2010,1,26,9,,-8.0
2010,1,26,10,,-6.0
2010,1,26,11,,-3.0
2010,1,26,12,88.0,-1.0
2010,1,26,13,85.0,0.0
2010,1,26,14,90.0,1.0
2010,1,26,15,127.0,2.0
2010,1,26,16,144.0,1.0
2010,1,26,17,203.0,-1.0
2010,1,26,18,199.0,-3.0
2010,1,26,19,231.0,-3.0
2010,1,26,20,274.0,-5.0
2010,1,26,21,340.0,-6.0
2010,1,26,22,298.0,-5.0
2010,1,26,23,268.0,-4.0
2010,1,27,0,299.0,-4.0
2010,1,27,1,300.0,-3.0
2010,1,27,2,240.0,-4.0
2010,1,27,3,213.0,-4.0
2010,1,27,4,171.0,-3.0
2010,1,27,5,153.0,-4.0
2010,1,27,6,153.0,-5.0
2010,1,27,7,140.0,-4.0
2010,1,27,8,147.0,-3.0
2010,1,27,9,158.0,-1.0
2010,1,27,10,153.0,1.0
2010,1,27,11,154.0,3.0
2010,1,27,12,143.0,4.0
2010,1,27,13,90.0,6.0
2010,1,27,14,55.0,8.0
2010,1,27,15,52.0,8.0
2010,1,27,16,41.0,7.0
2010,1,27,17,29.0,7.0
2010,1,27,18,37.0,5.0
2010,1,27,19,49.0,4.0
2010,1,27,20,56.0,3.0
2010,1,27,21,38.0,3.0
2010,1,27,22,37.0,3.0
2010,1,27,23,28.0,0.0
2010,1,28,0,20.0,-1.0
2010,1,28,1,22.0,-1.0
2010,1,28,2,27.0,-1.0
2010,1,28,3,34.0,-2.0
2010,1,28,4,27.0,-2.0
2010,1,28,5,32.0,-3.0
2010,1,28,6,28.0,-3.0
2010,1,28,7,28.0,-3.0
2010,1,28,8,18.0,-3.0
2010,1,28,9,17.0,-2.0
2010,1,28,10,16.0,-2.0
2010,1,28,11,18.0,-1.0
2010,1,28,12,16.0,1.0
2010,1,28,13,12.0,1.0
2010,1,28,14,13.0,1.0
2010,1,28,15,23.0,1.0
2010,1,28,16,21.0,1.0
2010,1,28,17,13.0,0.0
2010,1,28,18,14.0,0.0
2010,1,28,19,23.0,-1.0
2010,1,28,20,16.0,-1.0
2010,1,28,21,25.0,-4.0
2010,1,28,22,20.0,-2.0
2010,1,28,23,25.0,-2.0
2010,1,29,0,19.0,-1.0
2010,1,29,1,24.0,-4.0
2010,1,29,2,25.0,-4.0
2010,1,29,3,20.0,-8.0
2010,1,29,4,24.0,-7.0
2010,1,29,5,17.0,-8.0
2010,1,29,6,10.0,-10.0
2010,1,29,7,11.0,-2.0
2010,1,29,8,16.0,-1.0
2010,1,29,9,20.0,1.0
2010,1,29,10,13.0,2.0
2010,1,29,11,12.0,3.0
2010,1,29,12,12.0,4.0
2010,1,29,13,12.0,5.0
2010,1,29,14,12.0,6.0
2010,1,29,15,31.0,6.0
2010,1,29,16,36.0,6.0
2010,1,29,17,42.0,5.0
2010,1,29,18,52.0,5.0
2010,1,29,19,26.0,5.0
2010,1,29,20,24.0,3.0
2010,1,29,21,25.0,3.0
2010,1,29,22,43.0,3.0
2010,1,29,23,47.0,3.0
2010,1,30,0,61.0,0.0
2010,1,30,1,66.0,0.0
2010,1,30,2,65.0,-1.0
2010,1,30,3,70.0,-2.0
2010,1,30,4,36.0,-1.0
2010,1,30,5,37.0,-4.0
2010,1,30,6,22.0,-5.0
2010,1,30,7,24.0,-5.0
2010,1,30,8,29.0,-6.0
2010,1,30,9,35.0,0.0
2010,1,30,10,35.0,3.0
2010,1,30,11,33.0,5.0
2010,1,30,12,32.0,6.0
2010,1,30,13,25.0,7.0
2010,1,30,14,16.0,7.0
2010,1,30,15,26.0,7.0
2010,1,30,16,32.0,7.0
2010,1,30,17,36.0,6.0
2010,1,30,18,37.0,5.0
2010,1,30,19,45.0,5.0
2010,1,30,20,71.0,4.0
2010,1,30,21,67.0,5.0
2010,1,30,22,69.0,2.0
2010,1,30,23,94.0,2.0
2010,1,31,0,85.0,1.0
2010,1,31,1,35.0,1.0
2010,1,31,2,26.0,-3.0
2010,1,31,3,24.0,-2.0
2010,1,31,4,20.0,0.0
2010,1,31,5,16.0,1.0
2010,1,31,6,18.0,0.0
2010,1,31,7,19.0,0.0
2010,1,31,8,22.0,0.0
2010,1,31,9,17.0,2.0
2010,1,31,10,18.0,3.0
2010,1,31,11,11.0,4.0
2010,1,31,12,11.0,5.0
2010,1,31,13,16.0,5.0
2010,1,31,14,18.0,6.0
2010,1,31,15,17.0,6.0
2010,1,31,16,19.0,5.0
2010,1,31,17,26.0,4.0
2010,1,31,18,24.0,1.0
2010,1,31,19,54.0,-1.0
2010,1,31,20,71.0,-1.0
2010,1,31,21,129.0,-1.0
2010,1,31,22,145.0,-2.0
2010,1,31,23,101.0,-2.0
2010,2,1,0,65.0,-3.0
2010,2,1,1,70.0,-4.0
2010,2,1,2,67.0,-4.0
2010,2,1,3,76.0,-4.0
2010,2,1,4,76.0,-4.0
2010,2,1,5,68.0,-5.0
2010,2,1,6,73.0,-4.0
2010,2,1,7,73.0,-4.0
2010,2,1,8,64.0,-6.0
2010,2,1,9,53.0,-3.0
2010,2,1,10,72.0,-2.0
2010,2,1,11,78.0,-1.0
2010,2,1,12,72.0,0.0
2010,2,1,13,56.0,0.0
2010,2,1,14,54.0,1.0
2010,2,1,15,40.0,0.0
2010,2,1,16,49.0,0.0
2010,2,1,17,63.0,-1.0
2010,2,1,18,66.0,-2.0
2010,2,1,19,64.0,-2.0
2010,2,1,20,63.0,-4.0
2010,2,1,21,65.0,-5.0
2010,2,1,22,64.0,-5.0
2010,2,1,23,64.0,-7.0
2010,2,2,0,62.0,-7.0
2010,2,2,1,56.0,-8.0
2010,2,2,2,87.0,-9.0
2010,2,2,3,72.0,-10.0
2010,2,2,4,104.0,-10.0
2010,2,2,5,97.0,-11.0
2010,2,2,6,96.0,-9.0
2010,2,2,7,86.0,-8.0
2010,2,2,8,85.0,-7.0
2010,2,2,9,92.0,-6.0
2010,2,2,10,55.0,-5.0
2010,2,2,11,36.0,-3.0
2010,2,2,12,27.0,-2.0
2010,2,2,13,25.0,-1.0
2010,2,2,14,28.0,0.0
2010,2,2,15,32.0,0.0
2010,2,2,16,35.0,1.0
2010,2,2,17,43.0,-2.0
2010,2,2,18,70.0,-4.0
2010,2,2,19,83.0,-3.0
2010,2,2,20,66.0,-6.0
2010,2,2,21,70.0,-7.0
2010,2,2,22,80.0,-5.0
2010,2,2,23,88.0,-8.0
2010,2,3,0,69.0,-8.0
2010,2,3,1,71.0,-8.0
2010,2,3,2,62.0,-10.0
2010,2,3,3,73.0,-10.0
2010,2,3,4,107.0,-12.0
2010,2,3,5,94.0,-13.0
